Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
2/9/2021 02:30AM,210202114,PHONE,DISTURBANCE & NOISE PARTY,4211 LINCOLN SWING,NA,NAT
2/9/2021 01:52AM,210202108,PHONE,PRIVATE TOW,1206 S 4TH ST,NA,PTOW
2/9/2021 12:05AM,210202101,PHONE,DISTURBANCE & NOISE PARTY,624-202 S 17TH ST,NA,NOR
2/8/2021 11:55PM,210202100,PHONE,SCAM,1118 S DUFF AVE,21000580,RPT
2/8/2021 11:19PM,210202095,W911,BURGLARY / ATTEMPTED BURGLARY,2919 OAKLAND ST,21000579,RPT
2/8/2021 10:39PM,210202091,PHONE,CIVIL MATTER,219-115 CRYSTAL ST,NA,NOR
2/8/2021 09:19PM,210202084,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2320 LINCOLN WAY,NA,UTL
2/8/2021 09:12PM,210202082,PHONE,VEHICLE IN DITCH,INTERSTATE 35/US HIGHWAY 30,NA,NOR
2/8/2021 09:07PM,210202080,PHONE,VEHICLE IN DITCH,INTERSTATE 35/US HIGHWAY 30,NA,TOT
2/8/2021 09:01PM,210202079,PHONE,THEFT / FRAUD / FORGERY,4415 LINCOLN WAY,21000578,RPT
2/8/2021 08:54PM,210202078,PHONE,TRESPASS,222 11TH ST,21000577,RPT
2/8/2021 07:46PM,210202052,W911,MEDICAL ASSIST/AMBULANCE CALL,1210-106 WALTON DR,NA,ASC
2/8/2021 07:15PM,210202043,PHONE,PARKING ENFORCEMENT/COMPLAINT,1300 COCONINO RD,NA,UTL
2/8/2021 07:09PM,210202041,SELF,TRESPASS,129 HAYWARD AVE,21000575,RPT
2/8/2021 06:40PM,210202035,PHONE,TRESPASS,114 S DUFF AVE,NA,UTL
2/8/2021 06:31PM,210202033,PHONE,MEDICAL ASSIST/AMBULANCE CALL,125-4 CAMPUS AVE,NA,ASC
2/8/2021 05:55PM,210202019,PHONE,DISORDERLY CONDUCT,1210-106 WALTON DR,NA,ASC
2/8/2021 05:40PM,210202016,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1567 REAGAN DR,NA,UTL
2/8/2021 05:36PM,210202015,PHONE,DISORDERLY CONDUCT,LINCOLN WAY/LYNN AVE,21000576,RPT
2/8/2021 05:31PM,210202013,PHONE,VANDALISM / CRIMINAL MISCHIEF,2210 LINCOLN WAY,21000574,RPT
2/8/2021 04:47PM,210202006,PHONE,MOTOR VEH CRASH / UNK INJURY,US HIGHWAY 30/UNIVERSITY BLVD,NA,NOR
2/8/2021 04:43PM,210202005,PHONE,THEFT / FRAUD / FORGERY,4700 MORTENSEN RD,21000572,RPT
2/8/2021 04:41PM,210202004,PHONE,BURGLARY / ATTEMPTED BURGLARY,2101-209 OAKWOOD RD,21000573,RPT
2/8/2021 03:47PM,210201992,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3815 STANGE RD,NA,NRSP
2/8/2021 03:24PM,210201981,PHONE,BURGLARY / ATTEMPTED BURGLARY,1018-6 LINCOLN WAY,21000570,RPT
2/8/2021 03:08PM,210201974,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,620-A LINCOLN WAY,NA,NOR
2/8/2021 03:01PM,210201971,PHONE,THEFT / FRAUD / FORGERY,4415 LINCOLN WAY,21000569,RPT
2/8/2021 02:59PM,210201968,SELF,THEFT / FRAUD / FORGERY,3915 MORTENSEN RD,21000568,RPT
2/8/2021 02:43PM,210201966,PHONE,BURGLARY TO MOTOR VEHICLE,313 GARDEN RD,21000571,RPT
2/8/2021 02:36PM,210201962,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3044 BURNHAM DR,NA,DUP
2/8/2021 02:28PM,210201958,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,114-5 E LINCOLN WAY,NA,NAT
2/8/2021 02:22PM,210201956,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1315-126 COCONINO RD,NA,NRSP
2/8/2021 02:05PM,210201948,PHONE,SCAM,1225-1 DELAWARE AVE,NA,INFO
2/8/2021 02:04PM,210201947,SELF,TRAFFIC STOP / ENFORCEMENT,KELLOGG AVE/13TH ST,NA,CIT
2/8/2021 01:27PM,210201940,PHONE,PARKING ENFORCEMENT/COMPLAINT,2113 FRILEY RD,NA,NOR
2/8/2021 01:25PM,210201939,SELF,TRAFFIC STOP / ENFORCEMENT,1600-BLK 13TH ST,NA,CIT
2/8/2021 01:13PM,210201937,PHONE,LAW DEPARTMENT ASSIST,515 CLARK AVE,NA,NOR
2/8/2021 01:09PM,210201934,SELF,TRAFFIC STOP / ENFORCEMENT,CRESCENT ST/13TH ST,NA,CIT
2/8/2021 12:01PM,210201921,SELF,TRAFFIC STOP / ENFORCEMENT,5TH ST/KELLOGG AVE,NA,CIT
2/8/2021 11:43AM,210201918,PHONE,MEDICAL ASSIST/AMBULANCE CALL,414-102 S 4TH ST,NA,DUP
2/8/2021 11:06AM,210201906,PHONE,PARKING ENFORCEMENT/COMPLAINT,VILLAGE DR/TRIPP ST,NA,NOR
2/8/2021 10:52AM,210201903,PHONE,PUBLIC INTOXICATION,210 LYNN AVE,21000567,RPT
2/8/2021 10:38AM,210201899,PHONE,DOMESTIC DISPUTE,300-610 STANTON AVE,21000566,RPT
2/8/2021 10:02AM,210201884,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3324 ORION DR,NA,NRSP
2/8/2021 09:49AM,210201877,SELF,MISSING PERSON / RUNAWAY,3400-BLK MORTENSEN RD,NA,NOR
2/8/2021 09:42AM,210201874,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2814 HARRISON RD,NA,NOR
2/8/2021 09:25AM,210201873,PHONE,PARKING ENFORCEMENT/COMPLAINT,2104 BURNETT AVE,NA,INFO
2/8/2021 09:05AM,210201872,PHONE,MOTOR VEH CRASH/PROP DAMAGE,2207 EDISON ST,21000564,RPT
2/8/2021 08:54AM,210201868,PHONE,MOTORIST ASSISTANCE,AIRPORT RD/S DUFF AVE,NA,NOR
