Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
4/25/2021 05:19AM,210406118,SELF,BURGLARY TO MOTOR VEHICLE,511 S 4TH ST,21001762,RPT
4/25/2021 04:25AM,210406116,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,312 HAYWARD AVE,NA,NOR
4/25/2021 04:20AM,210406115,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,229 S KELLOGG AVE,NA,NOR
4/25/2021 04:04AM,210406113,W911,MEDICAL ASSIST/AMBULANCE CALL,3115 GROVE AVE,NA,NRSP
4/25/2021 03:35AM,210406111,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,905-A NORTH DAKOTA AVE,NA,UTL
4/25/2021 03:22AM,210406108,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,3020-63 REGENCY CT,NA,NOR
4/25/2021 03:10AM,210406103,PHONE,VEHICLE IN DITCH,146 MM US HIGHWAY 30 W,NA,NOR
4/25/2021 03:06AM,210406102,SELF,LAW DEPARTMENT ASSIST,STATE AVE/MORTENSEN RD,21001761,RPT
4/25/2021 02:37AM,210406097,W911,MEDICAL ASSIST/AMBULANCE CALL,1332-202 WALTON DR,NA,NOR
4/25/2021 02:28AM,210406095,PHONE,PUBLIC INTOXICATION,2816 WEST ST,NA,UTL
4/25/2021 01:58AM,210406088,PHONE,PRIVATE TOW,2320 LINCOLN WAY,NA,PTOW
4/25/2021 01:57AM,210406087,PHONE,PRIVATE TOW,1407 S GRAND AVE,NA,PTOW
4/25/2021 01:53AM,210406086,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,146 MM US HIGHWAY 30 W,NA,UTL
4/25/2021 01:51AM,210406085,SELF,CRIME FREE HOUSING CHECK,4912 MORTENSEN RD,NA,ASC
4/25/2021 01:14AM,210406078,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1418-114 S DAYTON PL,NA,UTL
4/25/2021 01:12AM,210406077,PHONE,PUBLIC INTOXICATION,215 STANTON AVE,NA,CBC
4/25/2021 01:11AM,210406076,W911,MOTOR VEH CRASH/PROP DAMAGE,148 MM US HIGHWAY 30 W,21001760,ARR
4/25/2021 01:02AM,210406072,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,803 DICKINSON AVE,21001759,RPT
4/25/2021 12:53AM,210406069,PHONE,DISTURBANCE & NOISE PARTY,1206-108 S 4TH ST,NA,NAT
4/25/2021 12:46AM,210406066,PHONE,DISTURBANCE & NOISE PARTY,3107 LINCOLN WAY,NA,ASC
4/25/2021 12:42AM,210406064,PHONE,GENERAL ALARM BANK / RESIDENTI,409 S DUFF AVE,NA,BIL
4/25/2021 12:34AM,210406062,SELF,PUBLIC INTOXICATION,2500-BLK CHAMBERLAIN ST,NA,ASC
4/25/2021 12:18AM,210406057,W911,PUBLIC INTOXICATION,123 SHELDON AVE,NA,NOR
4/25/2021 12:17AM,210406054,W911,MEDICAL ASSIST/AMBULANCE CALL,2522 CHAMBERLAIN ST,NA,ASC
4/25/2021 12:15AM,210406052,W911,PUBLIC INTOXICATION,134 MAIN ST,NA,NOR
4/25/2021 12:10AM,210406051,PHONE,DISTURBANCE & NOISE PARTY,606-207 S 17TH ST,NA,NAT
4/25/2021 12:08AM,210406050,SELF,TRAFFIC STOP / ENFORCEMENT,UNIVERSITY BLVD/S 4TH ST,NA,CIT
4/25/2021 12:00AM,210406049,PHONE,PRIVATE TOW,1206 S 4TH ST,NA,PTOW
4/24/2021 11:49PM,210406044,SELF,CITIZEN CONTACT,2108-102 ISAAC NEWTON DR,NA,ASC
4/24/2021 11:36PM,210406040,PHONE,ANIMAL CALL,1300-233 COCONINO RD,NA,ASC
4/24/2021 11:21PM,210406035,SELF,TRAFFIC STOP / ENFORCEMENT,6TH ST/BURNETT AVE,NA,WAR
4/24/2021 11:02PM,210406034,PHONE,GENERAL ALARM BANK / RESIDENTI,710 S DUFF AVE,NA,BIL
4/24/2021 10:58PM,210406030,W911,MEDICAL ASSIST/AMBULANCE CALL,3911 TRIPP ST,NA,ASC
4/24/2021 10:41PM,210406025,PHONE,DISTURBANCE & NOISE PARTY,3111 LINCOLN WAY,NA,ASC
4/24/2021 10:35PM,210406024,PHONE,FIREWORKS COMPLAINT,1400-BLK KELLOGG AVE,NA,UTL
4/24/2021 10:20PM,210406019,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2213 AUDUBON DR,NA,UTL
