Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
6/7/2022 05:17AM,220601617,SELF,TRAFFIC STOP / ENFORCEMENT,148 MM US HIGHWAY 30 E,NA,WAR
6/7/2022 05:02AM,220601616,PHONE,GENERAL ALARM BANK / RESIDENTI,3619 STANGE RD,NA,BIL
6/7/2022 05:00AM,220601615,SELF,TRAFFIC STOP / ENFORCEMENT,148 MM US HIGHWAY 30 E,NA,WAR
6/7/2022 04:00AM,220601612,SELF,TRAFFIC STOP / ENFORCEMENT,S DUFF AVE/S 3RD ST,NA,WAR
6/7/2022 02:59AM,220601606,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1310 LINCOLN WAY,NA,ASC
6/7/2022 12:44AM,220601595,W911,MEDICAL ASSIST/AMBULANCE CALL,108 WREN ST,NA,NRSP
6/7/2022 12:23AM,220601588,SELF,TRAFFIC STOP / ENFORCEMENT,KINGSBURY AVE/E LINCOLN WAY,NA,WAR
6/7/2022 12:17AM,220601587,PHONE,FIREWORKS COMPLAINT,ROWLING DR/LAWRENCE AVE,NA,NOR
6/7/2022 12:04AM,220601586,SELF,TRAFFIC STOP / ENFORCEMENT,428 STONEHAVEN DR,22001980,ARR
6/6/2022 11:45PM,220601581,PHONE,CITIZEN CONTACT,4506 LINCOLN WAY,NA,INFO
6/6/2022 11:32PM,220601578,SELF,TRAFFIC STOP / ENFORCEMENT,UNIVERSITY BLVD/LINCOLN WAY,NA,CIT
6/6/2022 10:55PM,220601572,PHONE,SHOTS FIRED,619 S 17TH ST,NA,NOR
6/6/2022 10:37PM,220601569,PHONE,PUBLIC INTOXICATION,WELCH AVE/CHAMBERLAIN ST,22001979,ARR
6/6/2022 09:56PM,220601565,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,636 LINCOLN WAY,NA,NOR
6/6/2022 09:52PM,220601564,SELF,TRAFFIC STOP / ENFORCEMENT,24TH ST/MELROSE AVE,NA,CIT
6/6/2022 08:58PM,220601558,PHONE,MOTOR VEH CRASH/PROP DAMAGE,640 LINCOLN WAY,NA,NOR
6/6/2022 08:19PM,220601552,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,13TH ST/CURTISS AVE,NA,UTL
6/6/2022 08:15PM,220601550,SELF,TRAFFIC STOP / ENFORCEMENT,SOUTH DAKOTA AVE/STEINBECK ST,NA,ASC
6/6/2022 07:59PM,220601547,PHONE,DISORDERLY CONDUCT,116 WELCH AVE,NA,CBC
6/6/2022 07:46PM,220601546,PHONE,HIT & RUN PROPERTY DAMAGE,5356 MORTENSEN RD,22001977,RPT
6/6/2022 07:41PM,220601545,PHONE,JUVENILE TROUBLE,2705 LAUREL ST,NA,NOR
6/6/2022 07:24PM,220601543,PHONE,LAW DEPARTMENT ASSIST,640 LINCOLN WAY,22001976,RPT
6/6/2022 06:48PM,220601539,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3300-186A GEORGE W CARVER AVE,NA,NRSP
6/6/2022 06:48PM,220601537,PHONE,MEDICAL ASSIST/AMBULANCE CALL,4610 TWAIN ST,NA,NRSP
6/6/2022 06:26PM,220601531,PHONE,GENERAL ALARM BANK / RESIDENTI,612 KELLOGG AVE,NA,BIL
6/6/2022 06:01PM,220601527,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,S 3RD ST/S WALNUT AVE,NA,UTL
6/6/2022 05:44PM,220601525,PHONE,PRIVATE TOW,1206 S 4TH ST,NA,PTOW
6/6/2022 04:05PM,220601510,PHONE,PARKING ENFORCEMENT/COMPLAINT,MINNESOTA AVE/KINGMAN RD,NA,CIT
6/6/2022 04:00PM,220601508,PHONE,RECKLESS DRIVER,UNIVERSITY BLVD/US HIGHWAY 30 RAMP,NA,CINF
6/6/2022 03:54PM,220601506,PHONE,TRESPASS,201 E LINCOLN WAY,NA,GIE
6/6/2022 03:42PM,220601496,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3426 ORION DR,NA,NRSP
6/6/2022 03:42PM,220601495,PHONE,CIVIL MATTER,1006 LINCOLN WAY,NA,NOR
6/6/2022 03:29PM,220601490,PHONE,MOTORIST ASSISTANCE,S DUFF AVE/S 5TH ST,NA,UTL
6/6/2022 03:12PM,220601486,PHONE,PARKING ENFORCEMENT/COMPLAINT,335 BELL AVE,NA,CBC
6/6/2022 03:05PM,220601484,PHONE,THEFT / FRAUD / FORGERY,305 6TH ST,22001973,RPT
