Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
2/20/2023 05:15AM,230206390,W911,911 HANG UP / INCOMPLETE CALL,1407 FLORIDA AVE,NA,ASC
2/20/2023 02:25AM,230206370,SELF,SUSPICIOUS PERSON/VEH/ACTIVITY,5205 GRAND AVE,NA,NOR
2/20/2023 01:46AM,230206363,W911,MEDICAL ASSIST/AMBULANCE CALL,225 S KELLOGG AVE,NA,NAT
2/19/2023 11:30PM,230206334,PHONE,PRIVATE TOW,5310 MORTENSEN RD,NA,PTOW
2/19/2023 11:30PM,230206334,PHONE,PRIVATE TOW,5310 MORTENSEN RD,NA,PTOW
2/19/2023 11:22PM,230206333,W911,ANIMAL CALL,4709 STEINBECK ST,NA,ASC
2/19/2023 10:01PM,230206323,PHONE,DISORDERLY CONDUCT,1824 ARTHUR CIR,NA,ASC
2/19/2023 09:40PM,230206317,PHONE,DOMESTIC DISPUTE,2200 PINEHURST DR,23000661,RPT
2/19/2023 09:35PM,230206314,PHONE,PARKING ENFORCEMENT/COMPLAINT,3006 WHITETAIL LN,NA,CIT
2/19/2023 09:26PM,230206312,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3301 STANGE RD,NA,NRSP
2/19/2023 09:14PM,230206305,PHONE,GENERAL ALARM BANK / RESIDENTI,426 S DUFF AVE,NA,BIL
2/19/2023 09:11PM,230206304,PHONE,PRIVATE TOW,117 ASH AVE,NA,PTOW
2/19/2023 09:11PM,230206303,PHONE,CIVIL MATTER,2019 E LINCOLN WAY,NA,ASC
2/19/2023 08:33PM,230206300,SELF,TRAFFIC STOP / ENFORCEMENT,UTAH DR/IDAHO AVE,NA,WAR
2/19/2023 08:11PM,230206296,PHONE,MEDICAL ASSIST/AMBULANCE CALL,702 TOP O HOLLOW RD,NA,ASC
2/19/2023 08:05PM,230206294,PHONE,HIT & RUN PROPERTY DAMAGE,4018 LINCOLN WAY,23000660,RPT
2/19/2023 07:39PM,230206291,PHONE,PRIVATE TOW,205 BEACH AVE,NA,PTOW
2/19/2023 07:27PM,230206289,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,703 CRAWFORD AVE,NA,ASC
