Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
2/22/2023 05:37AM,230207103,W911,MEDICAL ASSIST/AMBULANCE CALL,1501 MAXWELL AVE,NA,NRSP
2/22/2023 05:15AM,230207100,PHONE,TRAFFIC HAZARD,LINCOLN WAY/N ELM AVE,NA,ASC
2/22/2023 04:58AM,230207098,W911,MEDICAL ASSIST/AMBULANCE CALL,203-606 S 5TH ST,NA,NRSP
2/22/2023 12:30AM,230207061,SELF,TRAFFIC STOP / ENFORCEMENT,100-BLK S 5TH ST,NA,CIT
2/21/2023 11:31PM,230207036,PHONE,RECKLESS DRIVER,US HIGHWAY 30/S DUFF AVE,NA,DUP
2/21/2023 10:33PM,230207022,W911,DISORDERLY CONDUCT,3914-202 MARICOPA DR,NA,NOR
2/21/2023 10:21PM,230207018,W911,MISSING PERSON / RUNAWAY,3905-7 TRIPP ST,23000680,RPT
2/21/2023 10:04PM,230207013,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,225 S KELLOGG AVE,NA,UTL
2/21/2023 09:57PM,230207011,PHONE,HARASSMENT,515 CLARK AVE,NA,ASC
2/21/2023 09:38PM,230207005,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,HUNT ST/HAYWARD AVE,NA,INFO
2/21/2023 09:23PM,230207000,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/WELCH AVE,NA,WAR
2/21/2023 09:03PM,230206994,PHONE,TRAFFIC HAZARD,13TH ST/GRAND AVE,NA,INFO
2/21/2023 08:27PM,230206987,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/BEACH AVE,NA,CIT
2/21/2023 07:40PM,230206972,PHONE,ANIMAL CALL,3119 WHITETAIL LN,NA,ASC
2/21/2023 07:23PM,230206971,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/GRAND AVE,NA,WAR
2/21/2023 06:51PM,230206963,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,325 S WILMOTH AVE,NA,ASC
2/21/2023 06:39PM,230206961,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2001-101 PRAIRIE VIEW WEST,NA,NRSP
2/21/2023 06:34PM,230206959,PHONE,MOTORIST ASSISTANCE,LINCOLN WAY/SHELDON AVE,NA,ASC
2/21/2023 06:18PM,230206955,PHONE,MOTORIST ASSISTANCE,GRAND AVE/13TH ST,NA,ASC
2/21/2023 06:00PM,230206950,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3440-208 GRAND AVE,NA,NRSP
2/21/2023 05:52PM,230206945,SELF,TRAFFIC STOP / ENFORCEMENT,S DUFF AVE/SE 5TH ST,23000679,RPT
2/21/2023 05:40PM,230206943,PHONE,MOTOR VEH CRASH/PROP DAMAGE,2800-BLK GRAND AVE,23000678,RPT
2/21/2023 05:20PM,230206934,SELF,TRAFFIC STOP / ENFORCEMENT,GARFIELD AVE/ONTARIO ST,NA,CIT
2/21/2023 05:11PM,230206932,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2801 GRAND AVE,NA,ASC
2/21/2023 05:10PM,230206931,SELF,OUTREACH,2801 GRAND AVE,NA,ASC
2/21/2023 04:15PM,230206913,PHONE,THEFT OF MOTOR VEHICLE,534 S DUFF AVE,NA,CBC
2/21/2023 04:14PM,230206912,PHONE,HARASSMENT,515 BROWN CT,NA,NOR
2/21/2023 04:13PM,230206910,SELF,TRAFFIC STOP / ENFORCEMENT,2700-BLK STANGE RD,NA,CIT
2/21/2023 04:07PM,230206907,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1401-102 NORTH DAKOTA AVE,NA,NRSP
2/21/2023 04:07PM,230206905,PHONE,RECKLESS DRIVER,151 MM US HIGHWAY 30 W,NA,INFO
2/21/2023 04:01PM,230206897,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1806 DUFF AVE,NA,NRSP
2/21/2023 03:52PM,230206891,SELF,TRAFFIC STOP / ENFORCEMENT,1600-BLK 13TH ST,NA,WAR
2/21/2023 03:42PM,230206888,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1401-102 NORTH DAKOTA AVE,NA,NRSP
2/21/2023 03:05PM,230206881,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1002 CARROLL AVE,NA,NRSP
2/21/2023 02:53PM,230206876,PHONE,THEFT / FRAUD / FORGERY,1505-101 BUCKEYE AVE,23000677,RPT
2/21/2023 02:52PM,230206875,PHONE,DISORDERLY CONDUCT,125 6TH ST,23000676,ARR
2/21/2023 02:48PM,230206874,SELF,OUTREACH,515 CLARK AVE,NA,ASC
2/21/2023 02:36PM,230206866,PHONE,PRIVATE TOW,119 STANTON AVE,NA,PTOW
2/21/2023 02:28PM,230206859,PHONE,TRUANCY,3915 MORTENSEN RD,NA,NOR
2/21/2023 02:05PM,230206853,PHONE,THEFT / FRAUD / FORGERY,700 SE 16TH ST,23000675,RPT
2/21/2023 01:49PM,230206847,PHONE,REPOSSESSION,143-201 SHELDON AVE,NA,REPO
2/21/2023 01:39PM,230206846,PHONE,THEFT / FRAUD / FORGERY,320 S DUFF AVE,23000674,RPT
2/21/2023 01:31PM,230206845,SELF,CITIZEN CONTACT,515 CLARK AVE,NA,NOR
2/21/2023 01:30PM,230206844,PHONE,PRIVATE TOW,1902 E LINCOLN WAY,NA,PTOW
2/21/2023 12:58PM,230206836,WALK,THEFT / FRAUD / FORGERY,312 BEEDLE DR,23000673,RPT
2/21/2023 12:39PM,230206831,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1920 DAYTON AVE,NA,NRSP
2/21/2023 12:33PM,230206827,W911,HARASSMENT,3037 BAYBERRY RD,NA,NOR
2/21/2023 12:08PM,230206818,PHONE,MOTORIST ASSISTANCE,120-BLK S DUFF AVE,NA,UTL
2/21/2023 11:52AM,230206814,PHONE,PRIVATE TOW,612 S 16TH ST,NA,PTOW
2/21/2023 11:19AM,230206804,PHONE,MISSING PERSON / RUNAWAY,703 BURNETT AVE,NA,NOR
2/21/2023 11:19AM,230206804,PHONE,MISSING PERSON / RUNAWAY,703 BURNETT AVE,NA,NOR
2/21/2023 10:37AM,230206794,SELF,LAW DEPARTMENT ASSIST,3305 ROY KEY AVE,NA,ASC
2/21/2023 10:26AM,230206793,PHONE,SCAM,515 CLARK AVE,NA,NOR
2/21/2023 10:22AM,230206791,PHONE,MOTOR VEH CRASH/PROP DAMAGE,1111 DUFF AVE,23000672,RPT
2/21/2023 10:22AM,230206789,W911,MEDICAL ASSIST/AMBULANCE CALL,132 ORIOLE ST,NA,NRSP
2/21/2023 10:11AM,230206784,PHONE,LAW DEPARTMENT ASSIST,111 SHERMAN AVE,NA,UTL
2/21/2023 09:07AM,230206759,PHONE,PARKING ENFORCEMENT/COMPLAINT,2410 KNAPP ST,NA,NOR
2/21/2023 09:01AM,230206757,PHONE,MOTOR VEH CRASH/PROP DAMAGE,100-BLK S FRANKLIN AVE,23000671,RPT
2/21/2023 08:25AM,230206752,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,300-101 S 17TH ST,NA,NAT
2/21/2023 08:22AM,230206749,W911,MEDICAL ASSIST/AMBULANCE CALL,225 S KELLOGG AVE,NA,NRSP
2/21/2023 08:01AM,230206745,W911,RECKLESS DRIVER,144 MM US HIGHWAY 30 E,NA,UTL
2/21/2023 07:59AM,230206744,W911,RECKLESS DRIVER,147 MM US HIGHWAY 30 E,NA,TOT
2/21/2023 06:46AM,230206729,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2418 KENT AVE,NA,NRSP
2/21/2023 05:57AM,230206726,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/UNIVERSITY BLVD,NA,WAR
2/21/2023 05:54AM,230206724,SELF,TRAFFIC STOP / ENFORCEMENT,UNIVERSITY BLVD/GREEN HILLS DR,NA,CIT
2/21/2023 04:34AM,230206709,PHONE,TRESPASS,525 KELLOGG AVE,23000670,ASC
2/21/2023 02:59AM,230206700,PHONE,DISORDERLY CONDUCT,1111 DUFF AVE,NA,NOR
2/21/2023 02:53AM,230206699,W911,BURGLARY IN PROGRESS,118 FRANKLIN AVE,NA,UTL
2/21/2023 02:53AM,230206699,W911,BURGLARY IN PROGRESS,118 FRANKLIN AVE,NA,UTL
2/21/2023 01:38AM,230206690,SELF,TRESPASS,1635 13TH ST,NA,NOR
2/21/2023 12:12AM,230206678,PHONE,REPOSSESSION,1315 COCONINO RD,NA,REPO
2/21/2023 12:04AM,230206675,W911,MEDICAL ASSIST/AMBULANCE CALL,320 E 6TH ST,NA,NOR
2/21/2023 12:03AM,230206673,W911,DISORDERLY CONDUCT,515 S 4TH ST,NA,NOR
2/20/2023 11:20PM,230206663,PHONE,REPOSSESSION,1421 IDAHO AVE,NA,REPO
2/20/2023 11:04PM,230206658,W911,DISORDERLY CONDUCT,1425-108 COCONINO RD,NA,ASC
2/20/2023 11:04PM,230206657,PHONE,GENERAL ALARM BANK / RESIDENTI,3619 STANGE RD,NA,BIL
2/20/2023 10:21PM,230206646,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1411 DELAWARE AVE,NA,NRSP
2/20/2023 10:20PM,230206643,SELF,TRAFFIC STOP / ENFORCEMENT,13TH ST/NORTHWESTERN AVE,NA,CIT
2/20/2023 10:11PM,230206640,PHONE,REPOSSESSION,416 BILLY SUNDAY RD,NA,REPO
2/20/2023 09:48PM,230206633,PHONE,HARASSMENT,129 S OAK AVE,NA,ASC
2/20/2023 09:47PM,230206632,PHONE,MOTORIST ASSISTANCE,MORTENSEN RD/SOUTH DAKOTA AVE,NA,ASC
2/20/2023 09:35PM,230206629,SELF,TRAFFIC STOP / ENFORCEMENT,600-BLK NORTHWESTERN AVE,NA,WAR
2/20/2023 09:09PM,230206623,SELF,TRAFFIC STOP / ENFORCEMENT,800-BLK 24TH ST,NA,WAR
2/20/2023 09:03PM,230206622,PHONE,CIVIL MATTER,621-10 9TH ST,NA,NOR
2/20/2023 08:37PM,230206616,PHONE,CITIZEN CONTACT,100-BLK DUFF AVE,NA,ASC
2/20/2023 08:21PM,230206610,PHONE,PRIVATE TOW,300 STANTON AVE,NA,PTOW
2/20/2023 07:56PM,230206600,PHONE,MEDICAL ASSIST/AMBULANCE CALL,645-103 STONEHAVEN DR,NA,ASC
2/20/2023 07:50PM,230206597,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3301-14 STANGE RD,NA,NRSP
2/20/2023 06:51PM,230206586,PHONE,MOTOR VEH CRASH/PROP DAMAGE,539-2 LINCOLN WAY,NA,NOR
2/20/2023 06:13PM,230206571,SELF,TRAFFIC STOP / ENFORCEMENT,ORCHARD DR/RIDGEWOOD AVE,NA,WAR
2/20/2023 06:05PM,230206568,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3300-136 GEORGE W CARVER AVE,NA,NRSP
2/20/2023 06:05PM,230206567,WALK,SUSPICIOUS PERSON/VEH/ACTIVITY,3601 FLETCHER BLVD,NA,NOR
2/20/2023 05:43PM,230206562,SELF,TRAFFIC STOP / ENFORCEMENT,2700-BLK STANGE RD,NA,CIT
2/20/2023 05:39PM,230206558,PHONE,DISORDERLY CONDUCT,428 LINCOLN WAY,23000669,ARR
2/20/2023 05:23PM,230206555,SELF,TRAFFIC STOP / ENFORCEMENT,900-BLK AIRPORT RD,NA,CIT
2/20/2023 04:54PM,230206551,PHONE,GENERAL ASSAULT,105 CREEKSIDE DR,NA,NOR
2/20/2023 04:42PM,230206546,SELF,TRAFFIC STOP / ENFORCEMENT,100-BLK 9TH ST,NA,WAR
2/20/2023 04:15PM,230206539,PHONE,DISORDERLY CONDUCT,609 CARROLL AVE,NA,ASC
2/20/2023 03:42PM,230206535,PHONE,VANDALISM / CRIMINAL MISCHIEF,3623 CHILTON AVE,NA,ASC
2/20/2023 03:39PM,230206534,SELF,TRAFFIC STOP / ENFORCEMENT,400-BLK 6TH ST,NA,CIT
2/20/2023 03:06PM,230206527,PHONE,LAW DEPARTMENT ASSIST,309 S DUFF AVE,NA,NRSP
2/20/2023 03:06PM,230206527,PHONE,LAW DEPARTMENT ASSIST,309 S DUFF AVE,NA,NRSP
2/20/2023 03:00PM,230206523,PHONE,TRESPASS,113 COLORADO AVE,23000668,RPT
2/20/2023 03:00PM,230206522,PHONE,THEFT / FRAUD / FORGERY,3111 S DUFF AVE,23000667,RPT
2/20/2023 02:47PM,230206519,PHONE,PARKING ENFORCEMENT/COMPLAINT,2500-BLK MELROSE AVE,NA,WAR
2/20/2023 02:27PM,230206515,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,814 WILSON AVE,NA,ASC
2/20/2023 02:22PM,230206514,PHONE,VANDALISM / CRIMINAL MISCHIEF,703 BURNETT AVE,23000666,JUV
2/20/2023 02:03PM,230206509,PHONE,MOTOR VEH CRASH/PROP DAMAGE,1215 DUFF AVE,NA,NOR
2/20/2023 01:46PM,230206505,W911,911 HANG UP / INCOMPLETE CALL,1235 20TH ST,NA,ASC
2/20/2023 01:25PM,230206498,PHONE,DISORDERLY CONDUCT,321 OPAL CIR,NA,NOR
2/20/2023 12:42PM,230206490,PHONE,OPEN DOOR,219 DUFF AVE,NA,ASC
2/20/2023 12:34PM,230206488,PHONE,CIVIL MATTER,126 S KELLOGG AVE,23000665,RPT
2/20/2023 12:04PM,230206483,PHONE,MEDICAL ASSIST/AMBULANCE CALL,318-209 E LINCOLN WAY,NA,NRSP
2/20/2023 12:03PM,230206480,W911,MEDICAL ASSIST/AMBULANCE CALL,1401-102 NORTH DAKOTA AVE,NA,NRSP
2/20/2023 11:57AM,230206477,PHONE,EQUIPMENT/SIGN MALFUNCTION,S GRAND AVE/S 4TH ST,NA,REF
2/20/2023 11:39AM,230206475,PHONE,MOTOR VEH CRASH/PROP DAMAGE,DUFF AVE/LINCOLN WAY,23000664,RPT
2/20/2023 11:31AM,230206470,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3300-106 GEORGE W CARVER AVE,NA,DUP
2/20/2023 11:30AM,230206468,PHONE,CIVIL MATTER,430-114 E 7TH ST,NA,NOR
2/20/2023 11:19AM,230206466,SELF,CIVIL MATTER,534 S DUFF AVE,NA,NOR
2/20/2023 11:18AM,230206465,W911,TRESPASS,218 LINCOLN WAY,23000663,RPT
2/20/2023 10:48AM,230206454,PHONE,RECKLESS DRIVER,E 13TH ST/DAYTON AVE,NA,ASC
2/20/2023 10:41AM,230206448,E911,MEDICAL ASSIST/AMBULANCE CALL,3328 DARTMOOR LN,NA,DUP
2/20/2023 10:41AM,230206445,E911,MEDICAL ASSIST/AMBULANCE CALL,3328 DARTMOOR LN,NA,DUP
2/20/2023 10:33AM,230206441,W911,MEDICAL ASSIST/AMBULANCE CALL,227-505 CRYSTAL ST,NA,DUP
