Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
4/7/2022 05:46AM,220401601,E911,DISORDERLY CONDUCT,133-13 BEEDLE DR,NA,CBC
4/7/2022 02:31AM,220401586,PHONE,DISTURBANCE & NOISE PARTY,4912-424 MORTENSEN RD,NA,ASC
4/7/2022 02:15AM,220401583,PHONE,DISORDERLY CONDUCT,119 MAIN ST,NA,ASC
4/7/2022 01:58AM,220401581,E911,MEDICAL ASSIST/AMBULANCE CALL,3127 BURNHAM DR,NA,ASC
4/7/2022 01:15AM,220401578,SELF,LAW DEPARTMENT ASSIST,UNIVERSITY BLVD/S 16TH ST,NA,NOR
4/7/2022 01:07AM,220401571,W911,MEDICAL ASSIST/AMBULANCE CALL,420-15 S WALNUT AVE,NA,NRSP
4/7/2022 12:52AM,220401568,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2100 SE 16TH ST,22001183,RPT
4/7/2022 12:44AM,220401567,W911,DISTURBANCE & NOISE PARTY,5308 MORTENSEN RD,NA,UTL
4/7/2022 12:27AM,220401562,PHONE,ANIMAL CALL,28TH ST/HOOVER AVE,NA,UTL
4/6/2022 10:21PM,220401548,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,534 E 2ND ST,NA,ASC
4/6/2022 09:26PM,220401544,PHONE,MOTORIST ASSISTANCE,LINCOLN WAY/MORRILL RD,NA,NOR
4/6/2022 08:36PM,220401541,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2418-108 KENT AVE,NA,NRSP
4/6/2022 08:30PM,220401538,PHONE,911 HANG UP / INCOMPLETE CALL,808 7TH ST,NA,INFO
4/6/2022 08:11PM,220401537,PHONE,911 HANG UP / INCOMPLETE CALL,808 7TH ST,NA,NAT
4/6/2022 07:18PM,220401530,SELF,TRAFFIC STOP / ENFORCEMENT,200-BLK S GRAND AVE,NA,CIT
4/6/2022 06:54PM,220401527,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,S 3RD ST/S OAK AVE,NA,UTL
4/6/2022 06:21PM,220401519,SELF,TRAFFIC STOP / ENFORCEMENT,230 SE 16TH ST,NA,CIT
