Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
2/13/2023 05:52AM,230204062,SELF,TRAFFIC STOP / ENFORCEMENT,DAYTON AVE/E LINCOLN WAY,NA,CIT
2/13/2023 03:12AM,230204050,SELF,TRESPASS,1605 6TH ST,NA,NOR
2/13/2023 01:22AM,230204033,W911,MEDICAL ASSIST/AMBULANCE CALL,2143 FRILEY RD,NA,NRSP
2/13/2023 12:37AM,230204025,PHONE,EQUIPMENT/SIGN MALFUNCTION,515 CLARK AVE,NA,INFO
2/13/2023 12:21AM,230204018,PHONE,PRIVATE TOW,225 HYLAND AVE,NA,PTOW
2/13/2023 12:13AM,230204016,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2021 POLK DR,NA,UTL
2/12/2023 11:47PM,230204012,W911,VANDALISM / CRIMINAL MISCHIEF,2338 LINCOLN WAY,NA,ASC
2/12/2023 10:53PM,230203993,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/UNIVERSITY BLVD,NA,WAR
2/12/2023 10:51PM,230203991,PHONE,ANIMAL CALL,5200-BLK LINCOLN WAY,NA,ASC
2/12/2023 10:23PM,230203987,PHONE,MOTOR VEH CRASH/PROP DAMAGE,4800-BLK LINCOLN WAY,NA,INFO
2/12/2023 10:21PM,230203986,PHONE,HARASSMENT,2609-6 FERNDALE AVE,23000575,RPT
2/12/2023 09:51PM,230203980,SELF,TRAFFIC STOP / ENFORCEMENT,WELCH AVE/MORTENSEN PKWY,NA,WAR
2/12/2023 09:50PM,230203979,PHONE,DISORDERLY CONDUCT,709 CLARK AVE,23000573,RPT
2/12/2023 09:49PM,230203978,SELF,TRAFFIC STOP / ENFORCEMENT,640 LINCOLN WAY,NA,CIT
2/12/2023 09:48PM,230203977,PHONE,MOTOR VEH CRASH/PROP DAMAGE,3000-BLK LINCOLN WAY,23000574,RPT
2/12/2023 09:38PM,230203975,SELF,TRAFFIC STOP / ENFORCEMENT,MARSHALL AVE/LINCOLN WAY,NA,NOR
2/12/2023 09:21PM,230203972,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/BEACH AVE,NA,WAR
2/12/2023 09:17PM,230203969,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/CLARK AVE,NA,WAR
2/12/2023 08:46PM,230203967,SELF,TRAFFIC STOP / ENFORCEMENT,UNIVERSITY BLVD/US HIGHWAY 30 RAMP,NA,CIT
2/12/2023 08:38PM,230203965,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/MARSHALL AVE,NA,WAR
2/12/2023 08:33PM,230203963,SELF,TRAFFIC STOP / ENFORCEMENT,4700-BLK LINCOLN WAY,NA,WAR
2/12/2023 08:29PM,230203961,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/GRAND AVE,NA,CIT
